id;sigla;nome
4;AFG;AFEGANISTÃO
8;ALB;ALBÂNIA
10;ATA;ANTÁRTIDA
12;DZA;ARGÉLIA
16;ASM;SAMOA AMERICANA
20;AND;ANDORRA
24;AGO;ANGOLA
28;ATG;ANTÍGUA E BARBUDA
31;AZE;AZERBAIJÃO
32;ARG;ARGENTINA
36;AUS;AUSTRÁLIA
40;AUT;ÁUSTRIA
44;BHS;BAHAMAS
48;BHR;BAHREIN
50;BGD;BANGLADESH
51;ARM;ARMÊNIA
52;BRB;BARBADOS
56;BEL;BÉLGICA
60;BMU;BERMUDAS
64;BTN;BUTÃO
68;BOL;BOLÍVIA
70;BIH;BÓSNIA E HERZEGOVINA
72;BWA;BOTSUANA
74;BVT;ILHAS BOUVET
76;BRA;BRASIL
84;BLZ;BELIZE
86;IOT;TERRITÓRIO BRITÂNICO DO OCEANO ÍNDICO
90;SLB;ILHAS SALOMÃO
92;VGB;ILHAS VIRGENS BRITÂNICAS
96;BRN;BRUNEI 
100;BGR;BULGÁRIA
104;MMR;MYANMAR
108;BDI;BURUNDI
112;BLR;BIELORRÚSSIA
116;KHM;CAMBOJA
120;CMR;CAMARÕES
124;CAN;CANADÁ
132;CPV;CABO VERDE
136;CYM;ILHAS CAIMAN
140;CAF;REPÚBLICA CENTRO AFRICANA
144;LKA;SRI LANKA
148;TCD;CHADE
152;CHL;CHILE
156;CHN;CHINA
158;TWN;REPUBLICA DA CHINA
162;CXR;ILHAS NATAL
166;CCK;ILHAS COCOS
170;COL;COLÔMBIA
174;COM;COMORES
175;MYT;MAYOTTE
178;COG;CONGO
180;COD;REPÚBLICA DEMOCRÁTICA DO CONGO
184;COK;ILHAS COOK
188;CRI;COSTA RICA
191;HRV;CROÁCIA
192;CUB;CUBA
196;CYP;CHIPRE
203;CZE;REPÚBLICA TCHECA
204;BEN;BENIN
208;DNK;DINAMARCA
212;DMA;DOMINICA
214;DOM;REPÚBLICA DOMINICANA
218;ECU;EQUADOR
222;SLV;EL SALVADOR
226;GNQ;GUINÉ EQUATORIAL
231;ETH;ETIÓPIA
232;ERI;ERITRÉIA
233;EST;ESTÔNIA
234;FRO;ILHAS FEROE
238;FLK;ILHAS MALVINAS
239;SGS;ILHAS GEÓRGIA DO SUL E SANDWICH DO SUL
242;FJI;FIJI
246;FIN;FINLÂNDIA
248;ALA;ILHAS ÅLAND
250;FRA;FRANÇA
254;GUF;GUIANA FRANCESA
258;PYF;POLINÉSIA FRANCESA
260;ATF;TERRAS AUSTRAIS E ANTÁRTICAS FRANCESAS
262;DJI;DJIBUTI
266;GAB;GABÃO
268;GEO;GEÓRGIA
270;GMB;GÂMBIA
275;PSE;PALESTINA
276;DEU;ALEMANHA
288;GHA;GANA
292;GIB;GIBRALTAR
296;KIR;QUIRIBATI
300;GRC;GRÉCIA
304;GRL;GROENLÂNDIA
308;GRD;GRANADA
312;GLP;GUADALUPE
316;GUM;GUAM
320;GTM;GUATEMALA
324;GIN;GUINÉ
328;GUY;GUIANA
332;HTI;HAITI
334;HMD;ILHA HEARD E ILHAS MCDONALD
336;VAT;VATICANO
339;AAA;APÁTRIDA1
340;HND;HONDURAS
344;HKG;HONG KONG
348;HUN;HUNGRIA
352;ISL;ISLÂNDIA
356;IND;ÍNDIA
360;IDN;INDONÉSIA
364;IRN;IRÃ
368;IRQ;IRAQUE
